,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
0,random-20-2.60-0,DIDP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
87,random-70-4.00-0,DIDP-DEL,0,0,0,0,0,470.34620605422236,1810.786147853,0,0,55482791,200585467,-1,,
86,random-60-14.00-0,DIDP-DEL,0,0,0,0,0,426.2858707704413,1810.589291516,0,0,60565351,211679785,-1,,
85,random-60-11.60-0,DIDP-DEL,0,0,0,0,0,427.14564246041675,1808.892436326,0,0,61134277,215338369,-1,,
84,random-60-9.00-0,DIDP-DEL,0,0,0,0,0,427.96679193541127,1803.447339826,0,0,60624461,211901053,-1,,
83,random-60-6.60-0,DIDP-DEL,0,0,0,0,0,428.9619268033667,1805.958515634,0,0,61187490,212703500,-1,,
82,random-20-5.00-0,DIDP-DEL,0,691.0701097466051,6.287231089,0.06471848057485728,649.063693694399,464.68605535816056,1874.450533997,0,0,175507290,242653674,0.00022605557950171402,649.063693694399,0.0
81,random-20-10.00-0,DIDP-DEL,0,596.4918408935189,0.023330344,0.33916863950155074,445.41951125404034,378.9562078851369,1870.191804772,0,0,113928343,193879532,2.008582088839109e-05,445.41951125404034,0.0
80,random-20-7.60-0,DIDP-DEL,0,566.0584779639864,1.611632856,0.04694050348441503,540.6787454301723,394.4835536068942,1868.447384503,0,0,124432135,200354364,0.00018301097544962483,540.6787454301723,0.0
79,random-40-2.00-0,DIDP-DEL,0,0,0,0,0,439.1791055834824,1853.023179297,0,0,86236328,241366689,-1,,
78,random-50-4.60-0,DIDP-DEL,0,0,0,0,0,396.21615192761425,1844.591323825,0,0,72768827,229821070,-1,,
77,random-50-2.00-0,DIDP-DEL,0,0,0,0,0,401.0973119893648,1840.001460201,0,0,69260807,223936567,-1,,
76,random-30-10.00-0,DIDP-DEL,0,782.5424388446366,0.835604542,0.16863590003677442,669.6204000065476,399.24694284850955,1839.460254903,0,0,92978323,246602002,0.00102757038522085,669.6204000065476,0.0
88,random-70-7.12-0,DIDP-DEL,0,0,0,0,0,468.3138331613206,1809.813691625,0,0,57280080,203244309,-1,,
75,random-30-7.60-0,DIDP-DEL,0,929.1302934807926,70.892526211,0.021816213348217785,909.2929641782466,404.4482492958162,1839.123373406,0,0,94552218,245769390,0.0008592258203407208,909.2929641782466,0.0
73,random-30-2.60-0,DIDP-DEL,0,0,0,0,0,426.5123377446555,1835.479314606,0,0,98113945,245154292,-1,,
