,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
1000,random-10-0.00-0,CP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
3,random-30-0.00-0,DIDP-ADD,0,0,0,0,0,0,5.627e-05,0,0,1,1,-1,,
2,random-10-3.80-0,DIDP-ADD,0,562.3843390419478,0.000177565,0.1292123996405429,498.0323801093303,498.0323801093303,0.00335613,0,0,1331,1511,1.9575368449955697e-08,498.03238010933023,1.1413599021077606e-16
1,random-20-2.60-0,DIDP-ADD,0,0,0,0,0,0,0.000420346,0,0,72,79,-1,,
0,random-10-5.00-0,DIDP-ADD,0,495.1034521161241,0.000327895,0.3418041356769006,368.98349374155856,368.98349374155856,0.006711194,0,0,2343,2883,3.441418292367691e-07,368.9834,2.540535930451746e-07
1241,random-200-32.00-0,CP-RANK-DEL,0,10641.81,4.3,3.212640154755138,7007.787,0.0,1800.04,0,0,592087,1554623,1.9077413132486563,2526.1616490047822,1.7740849453402237
1240,random-100-24.00-0,CP-RANK-DEL,0,6006.703,0.55,3.014151356787807,3155.913,0.0,1800.02,0,0,3668338,8368433,1.1703584386632087,1496.3817918432123,1.1090292712748204
1239,random-200-47.12-0,CP-RANK-DEL,0,10560.32,8.29,3.716043220078734,6978.783,0.0,1800.03,0,0,726393,1891662,2.3302261710498566,2239.233083157303,2.116595164876702
1238,random-150-19.68-0,CP-RANK-DEL,0,7716.608,2.09,2.1286038491618844,5719.735,0.0,1800.02,0,0,1417922,3363906,1.3886926997303644,2466.470148359367,1.3189962399523145
4,random-30-2.60-0,DIDP-ADD,0,0,0,0,0,0,0.000195374,0,0,17,18,-1,,
1237,random-100-10.68-0,CP-RANK-DEL,0,5252.001,0.88,1.2183112896199222,3864.672,9.899142,1800.01,0,0,2263705,5197802,0.6677989646754746,2367.5671780491457,0.6323388986936604
1235,random-150-46.40-0,CP-RANK-DEL,0,8086.37,5.3,4.128387536943019,4113.456,0.0,1800.01,0,0,1612035,3924176,1.7513024733138034,1576.786064186601,1.6087597381969272
1234,random-100-15.00-0,CP-RANK-DEL,0,5677.043,0.68,1.9101069587642006,3545.326,0.0,1800.01,0,0,2927431,6655309,0.9113546419751479,1950.802180278212,0.817368278466034
1233,random-150-6.00-0,CP-RANK-DEL,0,0,0,0,0,6.999695,3.31,0,0,48,66,-1,,
1232,random-200-20.96-0,CP-RANK-DEL,0,10761.14,4.96,2.3388375172146905,7777.629,0.0,1800.04,0,0,546957,1444902,1.5198804656113494,3223.0199716268635,1.413149489754522
1231,random-150-32.80-0,CP-RANK-DEL,0,8160.738,4.33,3.4047926698008606,4482.382,0.0,1800.01,0,0,1445890,3520188,1.5056830041661446,1852.695146345888,1.4193845430213934
1230,random-150-60.00-0,CP-RANK-DEL,0,7775.111,1.15,4.403611258618086,3495.437,0.0,1800.01,0,0,2050529,4928226,1.5235800463677487,1438.8731216738931,1.4292878554390058
1229,random-100-19.68-0,CP-RANK-DEL,0,5626.98,0.62,2.4179444106657977,3590.158,0.0,1800.01,0,0,2891815,6877021,1.206748102501108,1646.3053004726585,1.1807364642325189
