,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
2000,random-10-3.80-0.json,MIP-ADD,0,1254.7310694,0.0,1.5193784122305396,498.032,498.0323801093,0.562022,0,0,2836,90,7.632039708882467e-07,498.032,0.0
2087,random-80-13.12-0.json,MIP-DEL,0,0,0,0,0,0,22.1832,0,0,0,0,-1,,
2086,random-80-16.00-0.json,MIP-DEL,0,0,0,0,0,0,20.0377,0,0,0,0,-1,,
2085,random-40-7.00-0.json,MIP-DEL,0,0,0,0,0,526.269415145,1800.0,0,0,2483675,284,-1,,
2084,random-40-9.60-0.json,MIP-DEL,0,0,0,0,0,500.0819277355,1800.0,0,0,2654048,231,-1,,
2083,random-40-12.00-0.json,MIP-DEL,0,0,0,0,0,465.4560047476,1800.0,0,0,3651714,477,-1,,
2082,random-30-5.00-0.json,MIP-DEL,0,1481.5928578,843.0,0.13818091279230557,1301.72,1116.79315297,1800.02,0,0,2431574,7416,0.08702933359307483,1301.72,0.0
2081,random-30-7.60-0.json,MIP-DEL,0,0,0,0,0,450.1208353146,1800.0,0,0,1561992,845,-1,,
2080,random-30-10.00-0.json,MIP-DEL,0,0,0,0,0,416.1918180044,1800.0,0,0,2011338,1147,-1,,
2079,random-20-7.60-0.json,MIP-DEL,0,773.2970013,193.0,0.430233098196897,576.235,456.7995810774,1800.0,0,0,3997621,15802,0.13776463656614063,540.679,0.06576175512642445
2078,random-20-10.00-0.json,MIP-DEL,0,911.8305151,176.0,1.0372640961535022,447.576,401.0479736157,1800.0,0,0,5632386,21100,0.1378233828982238,447.576,0.0
2077,random-80-4.00-0.json,MIP-DEL,0,0,0,0,0,0,35.736,0,0,0,0,-1,,
2076,random-80-10.00-0.json,MIP-DEL,0,0,0,0,0,0,25.7695,0,0,0,0,-1,,
2088,random-150-6.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2075,random-80-7.12-0.json,MIP-DEL,0,0,0,0,0,0,29.3736,0,0,0,0,-1,,
2073,random-20-5.00-0.json,MIP-DEL,0,994.5122301,201.0,0.5322252198550529,649.064,649.0298556152,838.26,0,0,2217327,15231,0.08005814013478575,649.064,0.0
2072,random-70-10.00-0.json,MIP-DEL,0,0,0,0,0,0,55.3263,0,0,0,0,-1,,
2071,random-50-4.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,81044,1,-1,,
2070,random-70-7.12-0.json,MIP-DEL,0,0,0,0,0,0,63.3137,0,0,0,0,-1,,
2069,random-70-4.00-0.json,MIP-DEL,0,0,0,0,0,0,19.4322,0,0,0,0,-1,,
2068,random-50-2.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2067,random-40-4.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2066,random-40-2.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2065,random-30-2.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2064,random-30-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2063,random-20-2.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2062,random-10-5.00-0.json,MIP-DEL,0,449.2881782,1.0,0.21763923595395993,368.983,368.9834937416,4.31627,0,0,32513,1055,0.00012224794532838593,368.983,0.0
2074,random-70-13.12-0.json,MIP-DEL,0,0,0,0,0,0,194.788,0,0,0,0,-1,,
2061,random-20-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2089,random-50-12.00-0.json,MIP-DEL,0,0,0,0,0,448.7226833257,1800.01,0,0,922668,60,-1,,
2091,random-150-32.80-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2117,random-100-15.00-0.json,MIP-DEL,0,0,0,0,0,0,3.51122,0,0,0,0,-1,,
2116,random-100-19.68-0.json,MIP-DEL,0,0,0,0,0,0,2.93025,0,0,0,0,-1,,
2115,random-70-16.00-0.json,MIP-DEL,0,0,0,0,0,537.9613053694,1800.0,0,0,189011,1,-1,,
2114,random-90-9.64-0.json,MIP-DEL,0,0,0,0,0,0,39.4996,0,0,0,0,-1,,
2113,random-100-24.00-0.json,MIP-DEL,0,0,0,0,0,0,2.58582,0,0,0,0,-1,,
2112,random-90-13.00-0.json,MIP-DEL,0,0,0,0,0,0,34.9089,0,0,0,0,-1,,
2111,random-90-16.64-0.json,MIP-DEL,0,0,0,0,0,0,30.8021,0,0,0,0,-1,,
2110,random-90-6.00-0.json,MIP-DEL,0,0,0,0,0,0,3.13184,0,0,0,0,-1,,
2109,random-90-20.00-0.json,MIP-DEL,0,0,0,0,0,0,34.6506,0,0,0,0,-1,,
2108,random-60-4.00-0.json,MIP-DEL,0,0,0,0,0,532.8388073481,1800.0,0,0,205600,1,-1,,
2107,random-60-6.60-0.json,MIP-DEL,0,0,0,0,0,533.6511863508,1800.01,0,0,173736,1,-1,,
