,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1000,random-10-0.00-0,CP-ADD,10,0,0,0,0,0.0,0,0,0,1,0,-1
1001,random-20-0.00-0,CP-ADD,20,0,0,0,0,0.0,0.01,0,0,1,0,-1
1002,random-10-1.30-0,CP-ADD,10,0,0,0,0,66.0,0.36,0,0,1953,3964,-1
1003,random-30-0.00-0,CP-ADD,30,0,0,0,0,0.0,0.02,0,0,1,0,-1
1004,random-10-2.50-0,CP-ADD,10,0,0,0,0,65.0,0.96,0,0,4339,8767,-1
1005,random-40-2.00-0,CP-ADD,40,0,0,0,0,0.0,0.04,0,0,1,0,-1
1006,random-10-5.00-0,CP-ADD,10,497.0,0.08,0.5727848101265823,365.0,365.0,1.9,0,0,34955,31927,0.15508901195499297
1007,random-10-3.80-0,CP-ADD,10,517.0,0.06,0.20512820512820512,495.0,495.0,1.96,0,0,40739,35228,0.1538478632478633
1008,random-20-2.60-0,CP-ADD,20,0,0,0,0,1104.0,46.35,0,0,83352,71545,-1
1009,random-20-5.00-0,CP-ADD,20,757.0,0.26,0.2830508474576271,642.0,642.0,46.55,0,0,304369,437438,0.08819668549905839
1010,random-30-2.60-0,CP-ADD,30,0,0,0,0,1094.0,213.75,0,0,214344,131561,-1
1011,random-30-5.00-0,CP-ADD,30,1498.0,2.5,0.24212271973466004,1251.0,1251.0,265.69,0,0,655120,856151,0.03760862815551869
1012,random-20-7.60-0,CP-ADD,20,789.0,0.04,0.5907258064516129,534.0,534.0,328.38,0,0,1274073,2132751,0.08017801299283155
1013,random-20-10.00-0,CP-ADD,20,1047.0,0.06,1.63727959697733,438.0,438.0,659.14,0,0,2384534,3995748,0.1037373775538763
1014,random-30-7.60-0,CP-ADD,30,1556.0,0.16,1.1641168289290682,826.0,234.0,1800.09,0,0,2053104,3481106,0.1496347627878226
1015,random-30-10.00-0,CP-ADD,30,1380.0,0.21,1.119815668202765,694.0,233.0,1800.07,0,0,2142338,3673036,0.06673462194913808
1016,random-40-4.60-0,CP-ADD,40,0,0,0,0,25.0,1800.0,0,0,179365,361548,-1
1017,random-40-7.00-0,CP-ADD,40,1528.0,7.71,0.22249262886330523,1299.0,356.0,1800.22,0,0,1778746,2618607,0.043230530531043976
1018,random-40-9.60-0,CP-ADD,40,1262.0,2.21,0.44724770642201833,923.0,307.0,1800.2,0,0,1551528,2299501,0.061335652395514785
1019,random-40-12.00-0,CP-ADD,40,1190.0,3.96,0.4133706871588449,882.0,272.0,1800.16,0,0,1893645,2929038,0.06144162359758449
1020,random-50-4.60-0,CP-ADD,50,0,0,0,0,27.0,1800.0,0,0,49665,102300,-1
1021,random-50-2.00-0,CP-ADD,50,0,0,0,0,85.0,1800.0,0,0,59825,122573,-1
1022,random-150-60.00-0,CP-ADD,150,7627.0,1032.24,4.18271458139957,1898.0,2.0,1800.03,0,0,8045,44650,3.5213726386441127
1023,random-200-60.00-0,CP-ADD,200,10795.0,113.44,4.512978425890975,10325.0,1.0,1800.1,0,0,2913,50791,4.294211647678905
1024,random-200-47.12-0,CP-ADD,200,10636.0,711.05,3.7171238322940465,2917.0,1.0,1800.05,0,0,2022,46184,1.6460507520735066
1025,random-200-20.96-0,CP-ADD,200,0,0,0,0,5.0,1800.05,0,0,327,40030,-1
1026,random-200-32.00-0,CP-ADD,200,10005.0,85.47,2.968088463436419,3112.0,2.0,1800.06,0,0,9024,61522,0.3810626374670315
1027,random-200-8.00-0,CP-ADD,200,0,0,0,0,11.0,1800.07,0,0,1095,40921,-1
1028,random-50-7.00-0,CP-ADD,50,2093.0,28.55,0.5021403121066658,1450.0,31.0,1800.01,0,0,561932,1138092,0.05868174180196016
1029,random-50-9.60-0,CP-ADD,50,2294.0,1.05,1.105999313427202,1183.0,288.0,1800.31,0,0,1459696,2105323,0.12246447726715928
1030,random-50-12.00-0,CP-ADD,50,2340.0,1.0,1.4638803904253015,1033.0,269.0,1800.3,0,0,1393385,2075112,0.11063797019761622
1031,random-60-4.00-0,CP-ADD,60,0,0,0,0,4.0,1800.0,0,0,22595,49134,-1
1032,random-60-6.60-0,CP-ADD,60,0,0,0,0,4.0,1800.0,0,0,25109,54234,-1
1033,random-60-9.00-0,CP-ADD,60,1893.0,32.13,0.312969301703059,1616.0,21.0,1800.01,0,0,381716,777435,0.1677991018529055
1034,random-60-11.60-0,CP-ADD,60,1482.0,1.71,0.2200392991006498,1337.0,21.0,1800.0,0,0,566998,1176788,0.10711967680305762
1035,random-60-14.00-0,CP-ADD,60,2817.0,11.95,1.5400524326307523,1198.0,21.0,1800.0,0,0,703192,1447395,0.11677448265176123
1036,random-70-4.00-0,CP-ADD,70,0,0,0,0,29.0,1800.0,0,0,15647,36138,-1
1037,random-70-7.12-0,CP-ADD,70,0,0,0,0,3.0,1800.0,0,0,16505,38153,-1
1038,random-70-10.00-0,CP-ADD,70,2203.0,3.5,0.2700842139336831,1906.0,20.0,1800.01,0,0,300610,615852,0.12886411902423517
1039,random-70-13.12-0,CP-ADD,70,3638.0,41.26,1.5490607440955013,1661.0,18.0,1800.01,0,0,691308,1410470,0.20002917095940462
1040,random-70-16.00-0,CP-ADD,70,4006.0,36.71,2.030363911751965,1465.0,18.0,1800.01,0,0,360559,746065,0.21181959507631282
1041,random-80-4.00-0,CP-ADD,80,0,0,0,0,15.0,1800.01,0,0,8758,23858,-1
1042,random-80-7.12-0,CP-ADD,80,0,0,0,0,15.0,1800.01,0,0,10983,28603,-1
1043,random-80-13.12-0,CP-ADD,80,3662.0,38.6,1.355195246874186,1831.0,17.0,1800.01,0,0,213112,446452,0.2736002531621516
1044,random-80-10.00-0,CP-ADD,80,3879.0,101.79,1.1051723039454289,2099.0,26.0,1800.01,0,0,139668,294879,0.26455561115867854
1045,random-80-16.00-0,CP-ADD,80,2065.0,127.7,0.49691685911523287,1605.0,14.0,1800.01,0,0,348447,733976,0.22444766983338646
1046,random-90-6.00-0,CP-ADD,90,0,0,0,0,25.0,1800.0,0,0,7665,23357,-1
1047,random-90-9.64-0,CP-ADD,90,3163.0,177.77,0.3618522218074293,2838.0,23.0,1800.02,0,0,29072,69449,0.23662513800397664
1048,random-90-16.64-0,CP-ADD,90,4691.0,8.86,1.8280554157002704,1909.0,19.0,1800.03,0,0,129916,282110,0.31562580133433316
1049,random-90-13.00-0,CP-ADD,90,4744.0,362.76,1.482393704007924,2277.0,23.0,1800.02,0,0,120392,256699,0.49894928288369467
1050,random-90-20.00-0,CP-ADD,90,1981.0,8.84,0.33495999425136974,1711.0,19.0,1800.01,0,0,181818,388896,0.16807873739884885
1051,random-100-6.00-0,CP-ADD,100,0,0,0,0,8.0,1800.02,0,0,5904,21495,-1
1052,random-100-10.68-0,CP-ADD,100,3428.0,577.38,0.4479376454347704,2829.0,23.0,1800.02,0,0,49593,111555,0.3137758412871977
1053,random-100-15.00-0,CP-ADD,100,5248.0,10.38,1.6925306357481187,2305.0,18.0,1800.01,0,0,108104,232767,0.23546608603124494
1054,random-100-24.00-0,CP-ADD,100,2120.0,8.08,0.38744207081580734,1748.0,18.0,1800.0,0,0,183806,390838,0.15288817878894792
1055,random-100-19.68-0,CP-ADD,100,2450.0,121.09,0.4598085672665271,1920.0,18.0,1800.02,0,0,232374,487603,0.21399786087058176
1056,random-150-32.80-0,CP-ADD,150,0,0,0,0,2.0,1800.03,0,0,1900,27242,-1
1057,random-150-19.68-0,CP-ADD,150,0,0,0,0,1.0,1800.02,0,0,1524,25403,-1
1058,random-150-46.40-0,CP-ADD,150,2247.0,19.42,0.3830313145386429,1734.0,13.0,1800.03,0,0,15759,58502,0.10009027170598361
1059,random-150-6.00-0,CP-ADD,150,0,0,0,0,9.0,1800.04,0,0,4386,30382,-1
1060,random-10-0.00-0,CP-DEL,10,0,0,0,0,0.0,0,0,0,1,0,-1
1061,random-20-0.00-0,CP-DEL,20,0,0,0,0,0.0,0.02,0,0,1,0,-1
1062,random-30-0.00-0,CP-DEL,30,0,0,0,0,0.0,0.02,0,0,1,0,-1
1063,random-10-1.30-0,CP-DEL,10,0,0,0,0,0.0,0.39,0,0,1953,3964,-1
1064,random-10-2.50-0,CP-DEL,10,0,0,0,0,0.0,0.96,0,0,4339,8767,-1
1065,random-40-2.00-0,CP-DEL,40,0,0,0,0,0.0,0.04,0,0,1,0,-1
1066,random-10-5.00-0,CP-DEL,10,444.0,0.1,0.4050632911392405,316.0,316.0,1.6,0,0,31533,29770,2.5879043600562587e-05
