,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1000,burma14-3.1,CP-RANK-DEL-nofirst,14,52.66006,0.22,0.7553353333333334,52.66006,52.65479,0.24,0,0,601,1219,0.7553353333333334
1001,burma14-3.1,CP-RANK-ADD-nofirst,14,59.88295,0.25,0.9960983333333334,52.66006,52.65479,0.28,0,0,1046,2116,0.7553687726388889
1002,ulysses22-5.5,CP-RANK-ADD-nofirst,22,168.6119,0.26,0.6530578431372548,143.3329,143.3185,0.95,0,0,11624,23541,0.40526490848583874
1003,berlin52-10.4,CP-RANK-ADD-nofirst,52,0,0,0,0,0.0,0.65,0,0,2118,4424,-1
1004,ulysses22-5.5,CP-RANK-DEL-nofirst,22,173.0707,0.21,0.6967715686274508,143.3329,143.3185,1.3,0,0,18318,36996,0.40527746395424824
1005,burma14-3.1,CP-ADD-nofirst,14,41.0,0.06,0.36666666666666664,41.0,41.0,0.35,0,0,1545,3236,0.36666666666666664
1006,berlin52-10.4,CP-RANK-DEL-nofirst,52,0,0,0,0,0.0,1.18,0,0,1354,2756,-1
1007,berlin52-13.2,CP-RANK-DEL-nofirst,52,31097.77,0.17,1.0372529255666838,20930.82,1032.157,520.01,0,0,1964921,4330001,0.37494234910926727
1008,eil101-27.5,CP-RANK-DEL-nofirst,101,3338.858,9.27,1.7848196664008207,2377.393,0.0,1010.01,0,0,946318,2176541,1.0406396035966419
1009,berlin52-13.2,CP-RANK-ADD-nofirst,52,30206.22,0.17,0.978846395265991,20518.52,2048.186,1800.01,0,0,6754178,14714314,0.42014216137704546
1010,berlin52-10.4,CP-ADD-nofirst,52,0,0,0,0,162.0,1800.0,0,0,65348,134020,-1
1011,berlin52-13.2,CP-ADD-nofirst,52,29807.0,0.67,0.9526930050729087,16950.0,523.0,1800.01,0,0,954009,1955936,0.12846081667873535
1012,eil101-27.5,CP-RANK-ADD-nofirst,101,3518.55,2.84,1.9346942089824148,2488.25,0.0,1800.0,0,0,1674810,3820068,1.1293377148719057
1013,eil101-27.5,CP-ADD-nofirst,101,3237.0,176.38,1.6998636240713012,1375.0,16.0,1800.02,0,0,290175,600925,0.30410183784976413
1014,burma14-3.1,CP-DEL-nofirst,14,30.0,0.06,0.0,30.0,30.0,0.29,0,0,1536,3218,0.0
1015,ulysses22-5.5,CP-ADD-nofirst,22,123.0,3.05,0.20588235294117646,110.0,110.0,10.36,0,0,47843,65682,0.07864798474945534
1016,gr202-67.3,CP-RANK-ADD-nofirst,202,3133.57,16.07,3.200495978552279,1531.752,0.0,1800.05,0,0,213851,591106,1.224356369295502
1017,gr202-67.3,CP-ADD-nofirst,202,801.0,31.77,0.07372654155495978,746.0,20.0,1800.05,0,0,86183,221353,0.0266410708966339
1018,lin318-99.3,CP-RANK-ADD-nofirst,318,403171.2,201.21,3.250076206582463,292138.7,0.0,1800.07,0,0,57916,149930,2.5332569241991356
1019,fl417-160.6,CP-RANK-ADD-nofirst,417,486744.0,127.32,19.993296248090065,265292.1,0.0,1800.68,0,0,24222,67041,12.126828138715483
1020,rat783-481.4,CP-RANK-ADD-nofirst,783,127772.6,196.25,8.15392218219247,127772.6,0.0,1801.47,0,0,8268,30114,8.15392218219247
1021,vm1084-848.9,CP-RANK-ADD-nofirst,1084,6884769.0,348.46,18.154374117908937,6884769.0,0.0,1801.7,0,0,4256,22431,18.154374117908937
1022,d657-322.7,CP-RANK-ADD-nofirst,657,833161.2,156.42,8.650751699175732,718441.8,0.0,1800.35,0,0,13031,39559,7.43739828971158
1023,fl417-160.6,CP-ADD-nofirst,417,0,0,0,0,8.0,1800.17,0,0,97,188812,-1
1024,ulysses22-5.5,CP-DEL-nofirst,22,115.0,3.71,0.12745098039215685,102.0,102.0,12.12,0,0,45405,60363,0.00026334422657952065
1025,d657-322.7,CP-ADD-nofirst,657,0,0,0,0,17.0,1801.21,0,0,34,513585,-1
1026,gr202-67.3,CP-RANK-DEL-nofirst,202,3073.397,7.75,3.1198351206434314,1543.261,0.0,2020.05,0,0,264148,727483,1.254889973361632
