,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
0,random-10-5.00-0,DIDP-ADD,0,495.1034521161241,0.000327895,0.3418037947868256,368.98349374155856,368.98349374155856,0.006711194,0,0,2343,2883,9.008821345841431e-08,368.9834937415585,1.5405409679551135e-16
87,random-70-4.00-0,DIDP-DEL,0,0,0,0,0,479.22663756718987,1806.092976245,0,0,62783509,225153267,-1,,
86,random-60-14.00-0,DIDP-DEL,0,0,0,0,0,426.46183302748625,1804.913726833,0,0,60828958,212285021,-1,,
85,random-60-11.60-0,DIDP-DEL,0,0,0,0,0,427.36792908816733,1806.39434549,0,0,60884800,213761270,-1,,
84,random-30-2.60-0,DIDP-DEL,0,0,0,0,0,477.88867158772655,1880.349063009,0,0,120673859,264713137,-1,,
83,random-20-10.00-0,DIDP-DEL,0,596.4918408935189,0.023229316,0.3391686395015511,445.41951125404034,378.9562078851369,1870.628778527,0,0,114074803,193972829,1.964329286604258e-05,445.41951125404023,2.552354237952903e-16
82,random-20-7.60-0,DIDP-DEL,0,566.0584779639864,1.622245383,0.04694050348441503,540.6787454301723,394.4835536068942,1869.136222882,0,0,123758614,199972458,0.00018351865483770996,540.6787454301723,0.0
81,random-30-7.60-0,DIDP-DEL,0,929.1302934807926,69.593955971,0.18586187841866433,909.2929641782466,406.223078993762,1852.412822913,0,0,94661754,249238509,0.16152212304606714,783.5063344137338,0.16054321993278312
80,random-30-10.00-0,DIDP-DEL,0,782.5424388446366,0.745438944,0.1913560533796149,669.6204000065476,399.64229563849295,1836.426974869,0,0,93348638,247212665,0.020473188560828106,656.8501806195856,0.019441601393663757
79,random-20-5.00-0,DIDP-DEL,0,691.0701097466051,6.141781489,0.06471848057485728,649.063693694399,485.2778453782305,1835.971842415,0,0,193036066,237128245,0.00345187759480895,649.063693694399,0.0
78,random-30-5.00-0,DIDP-DEL,0,0,0,0,0,421.98270128497074,1835.096347251,0,0,93694644,247489474,-1,,
77,random-40-4.60-0,DIDP-DEL,0,0,0,0,0,437.62709010332503,1832.520413799,0,0,92484190,258227129,-1,,
76,random-50-7.00-0,DIDP-DEL,0,0,0,0,0,396.77817368816375,1831.558705592,0,0,77117042,240438651,-1,,
88,random-70-7.12-0,DIDP-DEL,0,0,0,0,0,471.74289069840273,1807.334291624,0,0,59307561,212473292,-1,,
75,random-40-12.00-0,DIDP-DEL,0,1253.126835312578,292.814514284,0.5085816534234832,1009.0993178557871,414.1569659543667,1829.080541555,0,0,74039665,237911921,0.28411116709307305,830.6655675341194,0.21480816985271103
73,random-40-9.60-0,DIDP-DEL,0,0,0,0,0,416.96296475803564,1821.306985352,0,0,74425154,237654746,-1,,
72,random-50-2.00-0,DIDP-DEL,0,0,0,0,0,429.00816324650356,1819.841401283,0,0,79359452,245776306,-1,,
71,random-60-4.00-0,DIDP-DEL,0,0,0,0,0,445.58584937973984,1815.311975184,0,0,75477346,238022178,-1,,
70,random-50-4.60-0,DIDP-DEL,0,0,0,0,0,404.55085580434314,1815.385567528,0,0,75461495,240838781,-1,,
69,random-60-9.00-0,DIDP-DEL,0,0,0,0,0,429.88633183101217,1810.14988826,0,0,62177951,218395446,-1,,
68,random-50-12.00-0,DIDP-DEL,0,0,0,0,0,387.79873857852226,1808.219566484,0,0,68715288,229551322,-1,,
67,random-50-9.60-0,DIDP-DEL,0,0,0,0,0,389.32025681258153,1807.405488949,0,0,72623129,234183603,-1,,
66,random-60-6.60-0,DIDP-DEL,0,0,0,0,0,433.8383786791847,1807.103311772,0,0,66739468,228433109,-1,,
65,random-20-2.60-0,DIDP-DEL,0,0,0,0,0,0,224.549367063,0,0,41596674,47901654,-1,,
64,random-10-5.00-0,DIDP-DEL,0,434.26690875334657,0.000531043,0.1769277382839069,368.9834937415585,368.9834937415585,0.086139905,0,0,35659,45433,5.219790940083376e-08,368.9834937415585,0.0
63,random-10-3.80-0,DIDP-DEL,0,498.03238010933023,0.04170634,0.0,498.03238010933023,498.03238010933023,0.060646426,0,0,31017,37096,0.0,498.03238010933023,0.0
62,random-40-2.00-0,DIDP-DEL,0,0,0,0,0,0,9.4682e-05,0,0,1,1,-1,,
74,random-40-7.00-0,DIDP-DEL,0,0,0,0,0,422.66705745327846,1822.471479112,0,0,77617028,242774376,-1,,
61,random-30-0.00-0,DIDP-DEL,0,0,0,0,0,0,6.5451e-05,0,0,1,1,-1,,
89,random-70-10.00-0,DIDP-DEL,0,0,0,0,0,468.0282206491345,1810.354525929,0,0,59325150,212095767,-1,,
91,random-80-4.00-0,DIDP-DEL,0,0,0,0,0,464.01581492818764,1808.04012034,0,0,58364243,210845306,-1,,
117,random-200-32.00-0,DIDP-DEL,0,0,0,0,0,734.9547102239004,1802.124305329,0,0,23710790,102803238,-1,,
116,random-200-20.96-0,DIDP-DEL,0,0,0,0,0,735.298099262681,1800.331183913,0,0,23331602,99998382,-1,,
115,random-200-8.00-0,DIDP-DEL,0,0,0,0,0,737.6774324688133,1800.306027486,0,0,24722048,108722729,-1,,
114,random-150-60.00-0,DIDP-DEL,0,2227.661780488051,1065.018087838,0.5481988974097532,2227.661780488051,651.0643749688651,1801.915610893,0,0,25916497,122924030,0.5481988974097532,1438.8731216738931,0.5481988974097532
113,random-150-46.40-0,DIDP-DEL,0,0,0,0,0,651.2080809364477,1801.92138797,0,0,27337323,126932558,-1,,
112,random-150-32.80-0,DIDP-DEL,0,0,0,0,0,651.3665260291773,1801.569498098,0,0,32778032,139134124,-1,,
111,random-150-19.68-0,DIDP-DEL,0,0,0,0,0,607.5213592259785,1802.36364621,0,0,33877113,137660743,-1,,
110,random-100-24.00-0,DIDP-DEL,0,0,0,0,0,561.5121659287882,1805.014380054,0,0,48276267,181501816,-1,,
109,random-150-6.00-0,DIDP-DEL,0,0,0,0,0,611.2854062295563,1801.296526677,0,0,34696182,145067400,-1,,
108,random-100-19.68-0,DIDP-DEL,0,0,0,0,0,562.1682748529305,1804.69316633,0,0,46624277,176698154,-1,,
107,random-100-15.00-0,DIDP-DEL,0,0,0,0,0,563.1265989957359,1809.932447596,0,0,46188400,173316581,-1,,
106,random-100-6.00-0,DIDP-DEL,0,0,0,0,0,568.2436742104318,1815.46973642,0,0,46235760,178747772,-1,,
90,random-70-16.00-0,DIDP-DEL,0,0,0,0,0,464.964153661137,1805.321116061,0,0,60976011,212622147,-1,,
105,random-100-10.68-0,DIDP-DEL,0,0,0,0,0,564.4249490163794,1809.408338508,0,0,44413112,170896184,-1,,
103,random-90-16.64-0,DIDP-DEL,0,0,0,0,0,513.2653964268412,1810.319073162,0,0,45875719,178917856,-1,,
