,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
1000,random-10-0.00-0,CP-ADD,0,0,0,0,0,0.0,0.03,0,0,1,0,-1,,
4,random-30-0.00-0,DIDP-ADD,0,0,0,0,0,0,0.00060325,0,0,67,102,-1,,
3,random-40-2.00-0,DIDP-ADD,0,0,0,0,0,0,0.001191005,0,0,110,160,-1,,
2,random-10-5.00-0,DIDP-ADD,0,495.1034521161241,0.000181212,0.3564478140167784,368.98349374155856,368.98349374155856,0.006970035,0,0,2348,2885,0.010913743894231095,365.0,0.010913681483722086
1,random-10-3.80-0,DIDP-ADD,0,562.3843390419478,0.000171042,0.13612997786252076,498.0323801093303,498.0323801093303,0.00361469,0,0,1342,1522,0.006126040580294764,495.0,0.006126020422889475
0,random-20-2.60-0,DIDP-ADD,0,0,0,0,0,0,0.000901386,0,0,107,125,-1,,
1239,random-150-46.40-0,CP-RANK-DEL,0,8346.245,10.88,4.293200637402567,4399.241,0.0,1800.02,0,0,703700,1713677,2.0288117810968918,1576.786064186601,1.790004998090459
1238,random-150-32.80-0,CP-RANK-DEL,0,8128.928,8.42,3.3876230884680982,5246.456,0.0,1800.01,0,0,601936,1464289,1.916007252914086,1852.695146345888,1.8317966991750922
1237,random-150-19.68-0,CP-RANK-DEL,0,8082.359,9.36,2.2721897132275357,5731.195,0.0,1800.03,0,0,432608,1046618,1.3856913895459597,2470.0154050750125,1.320307390886879
5,random-50-4.60-0,DIDP-ADD,0,0,0,0,0,0,0.001933152,0,0,155,217,-1,,
1236,random-100-24.00-0,CP-RANK-DEL,0,6006.703,0.98,3.014151356787807,3411.413,0.0,1800.01,0,0,1729156,3976392,1.3007408771388793,1496.3817918432123,1.2797744657116494
1234,random-100-15.00-0,CP-RANK-DEL,0,5735.195,1.34,1.9399162344498093,3840.981,0.0,1800.01,0,0,1522701,3467403,1.0611369226461322,1950.802180278212,0.9689238810734884
1233,random-100-10.68-0,CP-RANK-DEL,0,5359.941,5.84,1.2639023930111009,4147.485,0.0,1800.02,0,0,1168566,2736883,0.7717291441667169,2367.5671780491457,0.7517918977984356
1232,random-90-20.00-0,CP-RANK-DEL,0,5028.289,0.75,2.367923502030015,3146.815,0.0,1800.01,0,0,2173355,5079110,1.2168327235384464,1492.993827493172,1.1077213730238222
1231,random-90-13.00-0,CP-RANK-DEL,0,5004.661,0.92,1.6700430902507846,3274.721,0.0,1800.01,0,0,1997825,4483409,0.8843164198398713,1874.3746189991023,0.7471005885411898
1230,random-90-16.64-0,CP-RANK-DEL,0,4831.724,0.87,1.963812487331139,3209.059,0.0,1800.01,0,0,2266174,5095648,1.0356795512617643,1630.2394367569734,0.9684586985478428
1229,random-90-9.64-0,CP-RANK-DEL,0,4953.891,1.03,1.1182470791856711,3723.214,144.6322,1800.0,0,0,1674394,3723632,0.6007340989378339,2338.674769661172,0.5920187143163222
1228,random-80-10.00-0,CP-RANK-DEL,0,4067.208,0.71,1.213988067001893,2925.653,0.0,1800.01,0,0,1930183,4429376,0.6413429815440622,1837.0505517257254,0.5925816506528039
1227,random-80-13.12-0,CP-RANK-DEL,0,3831.021,0.62,1.4819149831244396,2665.529,0.0,1800.01,0,0,2268746,5197998,0.7743472814156588,1543.5746292877423,0.7268546330215117
1235,random-100-19.68-0,CP-RANK-DEL,0,5714.878,1.14,2.471335479731034,3588.831,0.0,1800.01,0,0,1476739,3417086,1.2877374158073929,1646.3053004726585,1.1799304168975449
6,random-20-0.00-0,DIDP-ADD,0,0,0,0,0,0,0.000478752,0,0,57,75,-1,,
7,random-30-2.60-0,DIDP-ADD,0,0,0,0,0,0,0.001435767,0,0,74,109,-1,,
8,random-50-2.00-0,DIDP-ADD,0,0,0,0,0,0,0.001587544,0,0,123,185,-1,,
27,random-80-10.00-0,DIDP-ADD,0,2578.1251259977103,0.002408689,0.40340456258855767,1837.0505517257254,1213.0048000202123,1808.927073859,0,0,81766531,213850450,0.0004881284029309432,1837.0505517257254,0.0
26,random-80-13.12-0,DIDP-ADD,0,2162.2286755465657,0.005342472,0.400793090609614,1543.5746292877423,893.0422555278642,1808.22468031,0,0,77163531,214444161,0.004928010906204626,1543.5746292877423,0.0
25,random-80-16.00-0,DIDP-ADD,0,1910.4056808391024,0.003204513,0.3985230902148105,1366.0165457444593,725.0092897377274,1803.480465665,0,0,73900822,220545528,0.009126592660023592,1366.0165457444593,0.0
24,random-30-10.00-0,DIDP-ADD,0,848.6032255444634,0.000333629,0.29192813000980433,656.8501806195856,656.8501806195856,1584.566253999,0,0,151581251,195119018,1.8045414417292825e-05,656.8501806195856,0.0
23,random-100-6.00-0,DIDP-ADD,0,0,0,0,0,0,0.011671918,0,0,518,648,-1,,
22,random-40-7.00-0,DIDP-ADD,0,1443.1802232242821,0.001937589,0.15463166558441385,1249.9052868897547,1249.9052868897547,1314.943365178,0,0,127709459,163577017,1.0895478706406808e-06,1249.9052868897547,0.0
21,random-30-7.60-0,DIDP-ADD,0,1109.9624854155345,0.000352084,0.4166605127016294,783.5063344137338,783.5063344137338,353.084121783,0,0,39991045,52591138,7.716138150138321e-07,783.5063344137338,0.0
20,random-20-10.00-0,DIDP-ADD,0,526.9243005192199,0.00029279,0.20302351716716863,445.41951125404023,445.41951125404023,43.530740812,0,0,5684257,7412848,0.016948866013532692,438.0,0.016939523411050754
19,random-20-7.60-0,DIDP-ADD,0,566.4208567938501,0.000281877,0.060713214969756804,550.5499273460155,550.5499273460155,8.905752657,0,0,1478446,1905151,0.030992377961379335,534.0,0.030992373307145066
18,random-90-6.00-0,DIDP-ADD,0,0,0,0,0,0,0.007424112,0,0,368,513,-1,,
17,random-30-5.00-0,DIDP-ADD,0,1448.4974250464422,0.000738132,0.39278598562157907,1263.916504642033,1263.916504642033,0.914243789,0,0,205909,258790,0.2153045079957494,1040.0,0.21530433138657024
16,random-80-7.12-0,DIDP-ADD,0,0,0,0,0,0,0.013009356,0,0,755,852,-1,,
15,random-80-4.00-0,DIDP-ADD,0,0,0,0,0,0,0.005648889,0,0,308,399,-1,,
14,random-60-4.00-0,DIDP-ADD,0,0,0,0,0,0,0.005196077,0,0,190,275,-1,,
13,random-20-5.00-0,DIDP-ADD,0,781.2599910150383,0.000468725,0.2169158738551998,656.618855524248,656.618855524248,0.440593833,0,0,119597,148229,0.022770888549853912,642.0,0.02277080299727108
12,random-70-7.12-0,DIDP-ADD,0,0,0,0,0,0,0.020107684,0,0,1346,1416,-1,,
11,random-70-4.00-0,DIDP-ADD,0,0,0,0,0,0,0.004287872,0,0,257,325,-1,,
10,random-60-6.60-0,DIDP-ADD,0,0,0,0,0,0,0.005371348,0,0,413,514,-1,,
9,random-40-4.60-0,DIDP-ADD,0,0,0,0,0,0,0.003057956,0,0,159,209,-1,,
1226,random-80-16.00-0,CP-RANK-DEL,0,3824.998,0.55,1.8001110322682299,2676.675,0.0,1800.02,0,0,2970183,6832931,0.990023682441853,1366.0165457444593,0.9594748016329853
28,random-90-9.64-0,DIDP-ADD,0,2733.8383749646737,0.009904215,0.16896902913984624,2338.674769661172,1616.160144987674,1808.565340809,0,0,78336161,206191687,0.00036107797889645685,2338.674769661172,0.0
1225,random-70-16.00-0,CP-RANK-DEL,0,4035.052,0.32,2.1117381687608714,2241.189,0.0,1800.0,0,0,4142851,9344231,0.8263386738646163,1296.7196406524147,0.7283527832372441
1223,random-70-10.00-0,CP-RANK-DEL,0,3749.725,0.4,1.1565341892523129,2740.386,115.8105,1800.02,0,0,3416708,7698453,0.5918753477592223,1738.7737317997535,0.5760452035144947
1199,random-30-5.00-0,CP-RANK-DEL,0,1642.95,0.07,0.5797596153846154,1263.916,1263.79,294.99,0,0,2718854,5758857,0.21652593681623925,1040.0,0.2153038461538461
