,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
2000,ulysses22-5.5.json,MIP-DEL,0,195.4795218,90.0,0.36381378886927634,143.333,143.3329278329,103.139,0,0,221491,766,0.018694525495408162,143.333,0.0
2085,random-90-13.00-0.json,MIP-DEL,0,0,0,0,0,0,34.713,0,0,0,0,-1,,
2084,random-70-16.00-0.json,MIP-DEL,0,0,0,0,0,547.571021307,1800.02,0,0,180393,3,-1,,
2083,random-90-6.00-0.json,MIP-DEL,0,0,0,0,0,0,3.11962,0,0,0,0,-1,,
2082,random-90-16.64-0.json,MIP-DEL,0,0,0,0,0,0,30.5891,0,0,0,0,-1,,
2081,random-80-10.00-0.json,MIP-DEL,0,0,0,0,0,0,24.0842,0,0,0,0,-1,,
2080,random-70-10.00-0.json,MIP-DEL,0,0,0,0,0,0,52.484,0,0,0,0,-1,,
2079,random-80-4.00-0.json,MIP-DEL,0,0,0,0,0,0,33.2716,0,0,0,0,-1,,
2078,random-90-20.00-0.json,MIP-DEL,0,0,0,0,0,0,27.7165,0,0,0,0,-1,,
2077,random-80-7.12-0.json,MIP-DEL,0,0,0,0,0,0,27.7837,0,0,0,0,-1,,
2076,random-100-6.00-0.json,MIP-DEL,0,0,0,0,0,0,4.9749,0,0,0,0,-1,,
2075,random-200-32.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2074,random-100-24.00-0.json,MIP-DEL,0,0,0,0,0,0,2.5886,0,0,0,0,-1,,
2073,random-200-47.12-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2072,random-150-19.68-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2071,random-100-10.68-0.json,MIP-DEL,0,0,0,0,0,0,3.97392,0,0,0,0,-1,,
2070,random-200-8.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2069,random-150-46.40-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2068,random-100-15.00-0.json,MIP-DEL,0,0,0,0,0,0,3.40379,0,0,0,0,-1,,
2067,random-150-6.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2066,random-200-20.96-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2065,random-150-32.80-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
