,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
2000,random-10-1.30-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2072,random-40-7.00-0.json,MIP-DEL,0,0,0,0,0,520.8043623853,1800.0,0,0,1557549,171,-1,,
2071,random-40-9.60-0.json,MIP-DEL,0,0,0,0,0,486.0813243397,1800.0,0,0,1724286,285,-1,,
2070,random-40-12.00-0.json,MIP-DEL,0,0,0,0,0,485.8552035906,1800.01,0,0,2016363,301,-1,,
2069,random-30-5.00-0.json,MIP-DEL,0,1623.3720317,860.0,0.03790193128272674,1564.09,762.8450688056,1800.02,0,0,1793304,1426,0.022950616045077,1564.09,0.0
2068,random-30-7.60-0.json,MIP-DEL,0,0,0,0,0,432.4592262719,1800.0,0,0,1934285,1456,-1,,
2067,random-30-10.00-0.json,MIP-DEL,0,0,0,0,0,450.2272774031,1800.01,0,0,2057096,1856,-1,,
2066,random-20-5.00-0.json,MIP-DEL,0,755.3104579,386.0,0.19304819023429418,745.013,393.375254085,1800.01,0,0,2917250,11042,0.18039706926786495,633.093,0.1767828739221569
2065,random-20-7.60-0.json,MIP-DEL,0,956.4673988,258.0,0.6770832289467592,605.87,440.5214110687,1800.0,0,0,3443437,14431,0.15645920198899507,570.316,0.06234087768886016
2064,random-20-10.00-0.json,MIP-DEL,0,739.2674434,58.0,0.6597086870818554,445.42,416.4806046963,1800.0,0,0,4996529,19316,0.06505556074928019,445.42,0.0
2063,random-60-4.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,99089,1,-1,,
2062,random-50-4.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,54395,1,-1,,
2061,random-50-2.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2060,random-40-4.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,21864,1,-1,,
2059,random-40-2.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2058,random-30-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2057,random-30-2.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2056,random-20-2.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,1825,1,-1,,
2055,random-20-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2054,random-10-3.80-0.json,MIP-DEL,0,498.0323801,2.0,7.632039708882467e-07,498.032,498.0323801093,2.9279,0,0,30714,1479,7.632039708882466e-07,498.032,0.0
2053,random-10-5.00-0.json,MIP-DEL,0,434.2669088,0.0,0.1954416941715368,368.983,368.9834937416,1.5297,0,0,12695,385,0.015730739479559257,363.269,0.01572939061687069
2052,random-10-2.50-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,257,1,-1,,
2073,random-50-7.00-0.json,MIP-DEL,0,0,0,0,0,491.9149714215,1800.01,0,0,686896,23,-1,,
2051,random-10-1.30-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2074,random-50-9.60-0.json,MIP-DEL,0,0,0,0,0,471.3225516139,1800.01,0,0,701578,68,-1,,
2076,random-70-16.00-0.json,MIP-DEL,0,0,0,0,0,0,92.6558,0,0,0,0,-1,,
2097,random-100-15.00-0.json,MIP-DEL,0,0,0,0,0,0,3.51061,0,0,0,0,-1,,
2096,random-100-19.68-0.json,MIP-DEL,0,0,0,0,0,0,2.9557,0,0,0,0,-1,,
2095,random-100-24.00-0.json,MIP-DEL,0,0,0,0,0,0,2.58967,0,0,0,0,-1,,
2094,random-90-6.00-0.json,MIP-DEL,0,0,0,0,0,0,3.11091,0,0,0,0,-1,,
2093,random-60-11.60-0.json,MIP-DEL,0,0,0,0,0,497.9812203372,1800.01,0,0,345362,28,-1,,
2092,random-60-14.00-0.json,MIP-DEL,0,0,0,0,0,495.2922984674,1800.01,0,0,420691,31,-1,,
2091,random-90-9.64-0.json,MIP-DEL,0,0,0,0,0,0,41.0411,0,0,0,0,-1,,
2090,random-90-13.00-0.json,MIP-DEL,0,0,0,0,0,0,36.2584,0,0,0,0,-1,,
2089,random-90-16.64-0.json,MIP-DEL,0,0,0,0,0,0,31.7484,0,0,0,0,-1,,
2088,random-90-20.00-0.json,MIP-DEL,0,0,0,0,0,0,29.4488,0,0,0,0,-1,,
2087,random-60-9.00-0.json,MIP-DEL,0,0,0,0,0,515.4002707984,1800.01,0,0,156383,2,-1,,
2086,random-80-4.00-0.json,MIP-DEL,0,0,0,0,0,0,33.0346,0,0,0,0,-1,,
2085,random-80-10.00-0.json,MIP-DEL,0,0,0,0,0,0,24.483,0,0,0,0,-1,,
2084,random-80-7.12-0.json,MIP-DEL,0,0,0,0,0,0,27.6282,0,0,0,0,-1,,
2083,random-80-16.00-0.json,MIP-DEL,0,0,0,0,0,0,20.3536,0,0,0,0,-1,,
2082,random-80-13.12-0.json,MIP-DEL,0,0,0,0,0,0,22.4495,0,0,0,0,-1,,
2081,random-60-6.60-0.json,MIP-DEL,0,0,0,0,0,546.6651087309,1800.01,0,0,180614,1,-1,,
2080,random-70-4.00-0.json,MIP-DEL,0,0,0,0,0,0,19.5275,0,0,0,0,-1,,
2079,random-70-7.12-0.json,MIP-DEL,0,0,0,0,0,0,62.8692,0,0,0,0,-1,,
2078,random-70-13.12-0.json,MIP-DEL,0,0,0,0,0,0,100.954,0,0,0,0,-1,,
2077,random-70-10.00-0.json,MIP-DEL,0,0,0,0,0,0,54.709,0,0,0,0,-1,,
2075,random-50-12.00-0.json,MIP-DEL,0,0,0,0,0,449.794509458,1800.0,0,0,847417,69,-1,,
2050,random-10-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2049,random-100-6.00-0.json,MIP-ADD,0,0,0,0,0,0,4.73227,0,0,0,0,-1,,
2048,random-100-10.68-0.json,MIP-ADD,0,0,0,0,0,0,3.78795,0,0,0,0,-1,,
2021,random-40-4.60-0.json,MIP-ADD,0,0,0,0,0,566.9112025945,1800.01,0,0,1175297,545,-1,,
2020,random-40-7.00-0.json,MIP-ADD,0,2230.10227,77.0,0.2606926538341953,1768.95,530.6126958055,1800.06,0,0,988993,367,0.017678971561001375,1768.95,0.0
2019,random-40-12.00-0.json,MIP-ADD,0,1993.585,45.0,0.5434286112444451,1291.66,523.8012006976,1800.08,0,0,882690,577,0.01840604445111093,1291.66,0.0
2018,random-40-9.60-0.json,MIP-ADD,0,2037.76826,61.0,0.39427056577695985,1461.53,531.9058333867,1800.09,0,0,1188740,453,0.01507615363675206,1461.53,0.0
2017,random-30-2.60-0.json,MIP-ADD,0,0,0,0,0,492.7589869669,1800.0,0,0,1647735,1616,-1,,
2016,random-30-5.00-0.json,MIP-ADD,0,0,0,0,0,494.3783820969,1800.0,0,0,2111523,2728,-1,,
2015,random-30-7.60-0.json,MIP-ADD,0,1598.5696641,15.0,0.38301322314121095,1155.86,456.0603498364,1800.02,0,0,1795244,1717,0.003736542207677933,1155.86,0.0
2014,random-30-10.00-0.json,MIP-ADD,0,1457.72469,11.0,0.6462666732921276,885.473,439.2891765749,1800.02,0,0,1999235,3192,0.004218698345654947,885.473,0.0
2013,random-60-6.60-0.json,MIP-ADD,0,0,0,0,0,0.0,159.522,0,0,0,1,-1,,
2012,random-60-4.00-0.json,MIP-ADD,0,0,0,0,0,0.0,167.56,0,0,0,1,-1,,
2011,random-20-2.60-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,537473,1451,-1,,
2010,random-40-2.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2009,random-20-10.00-0.json,MIP-ADD,0,1057.06168,1.0,1.3731796506667862,491.687,491.6872278294,40.0004,0,0,167450,1699,0.10624107305439556,445.42,0.103872749315253
2008,random-20-5.00-0.json,MIP-ADD,0,896.49347,2.0,0.4160533602488103,633.093,633.0929247546,26.6115,0,0,47163,392,0.0022529107953596647,633.093,0.0
2007,random-30-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2006,random-20-7.60-0.json,MIP-ADD,0,1027.27196,2.0,0.8012329305157141,570.316,570.3164665262,23.5299,0,0,94165,1122,0.002788036943554012,570.316,0.0
2005,random-20-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2004,random-10-5.00-0.json,MIP-ADD,0,363.2686345,0.0,1.0061414543676888e-06,363.269,363.2686345213,0.172014,0,0,292,1,1.0061414543676888e-06,363.269,0.0
2003,random-10-3.80-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2002,random-10-2.50-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2001,random-10-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2022,random-50-9.60-0.json,MIP-ADD,0,0,0,0,0,472.0596143612,1800.01,0,0,619834,94,-1,,
2023,random-50-7.00-0.json,MIP-ADD,0,0,0,0,0,478.9652823055,1800.01,0,0,518874,40,-1,,
2024,random-50-12.00-0.json,MIP-ADD,0,2403.73599,174.0,0.6878746102856503,1424.12,469.7505386791,1800.12,0,0,549656,81,0.1118707051084959,1424.12,0.0
2025,random-50-4.60-0.json,MIP-ADD,0,0,0,0,0,492.4944495621,1800.01,0,0,382769,18,-1,,
2047,random-100-15.00-0.json,MIP-ADD,0,0,0,0,0,0,3.28973,0,0,0,0,-1,,
